0.6465277777777778 [1.1493055555555556, 0.5208333333333333]
0.4444444444444445 [1.0972222222222223, 0.28125]
0.3930555555555556 [1.0902777777777777, 0.21875]
0.38819444444444445 [0.8993055555555556, 0.26041666666666663]
0.37222222222222223 [0.9444444444444444, 0.22916666666666663]
0.4208333333333333 [0.9375, 0.29166666666666663]
0.39583333333333337 [1.0208333333333333, 0.23958333333333337]
0.3798611111111112 [1.0659722222222223, 0.20833333333333337]
0.40208333333333335 [1.0520833333333333, 0.23958333333333337]
0.4375 [1.0208333333333333, 0.29166666666666663]
0.3965277777777778 [1.0243055555555556, 0.23958333333333337]
0.42638888888888893 [1.0069444444444444, 0.28125]
0.40555555555555556 [1.0277777777777777, 0.25]
0.41041666666666665 [1.0104166666666667, 0.26041666666666663]
0.382638888888889 [0.9548611111111112, 0.23958333333333337]
0.39583333333333337 [1.0208333333333333, 0.23958333333333337]
0.40694444444444444 [0.9930555555555556, 0.26041666666666663]
0.4201388888888889 [1.1006944444444444, 0.25]
0.4270833333333333 [0.96875, 0.29166666666666663]
0.4090277777777778 [1.0868055555555556, 0.23958333333333337]
0.42847222222222225 [0.8923611111111112, 0.3125]
0.41041666666666665 [0.9270833333333334, 0.28125]
0.3819444444444445 [0.9513888888888888, 0.23958333333333337]
0.4194444444444444 [0.9305555555555556, 0.29166666666666663]
0.38680555555555557 [0.9340277777777778, 0.25]
0.34375000000000006 [0.8854166666666666, 0.20833333333333337]
0.37638888888888894 [0.9236111111111112, 0.23958333333333337]
0.37430555555555556 [0.9548611111111112, 0.22916666666666663]
0.4125 [1.0208333333333333, 0.26041666666666663]
0.3944444444444445 [0.9722222222222222, 0.25]
0.3916666666666667 [1.0, 0.23958333333333337]
0.41180555555555554 [1.0590277777777777, 0.25]
0.38055555555555554 [0.8611111111111112, 0.26041666666666663]
0.36736111111111114 [0.9618055555555556, 0.21875]
0.40347222222222223 [1.0173611111111112, 0.25]
0.40347222222222223 [1.1006944444444444, 0.22916666666666663]
0.40625 [1.03125, 0.25]
0.3965277777777778 [0.9826388888888888, 0.25]
0.3993055555555556 [1.0381944444444444, 0.23958333333333337]
0.3611111111111111 [1.0138888888888888, 0.19791666666666663]
0.3881944444444445 [1.0659722222222223, 0.21875]
0.3479166666666667 [1.03125, 0.17708333333333337]
0.3680555555555556 [0.9652777777777778, 0.21875]
0.3687500000000001 [1.0104166666666667, 0.20833333333333337]
0.34722222222222227 [0.9861111111111112, 0.1875]
0.3486111111111111 [0.9513888888888888, 0.19791666666666663]
0.3631944444444445 [0.9826388888888888, 0.20833333333333337]
0.3513888888888889 [0.8819444444444444, 0.21875]
0.33263888888888893 [0.9131944444444444, 0.1875]
0.36250000000000004 [0.9375, 0.21875]
0.37013888888888896 [1.0173611111111112, 0.20833333333333337]
0.3458333333333333 [1.0208333333333333, 0.17708333333333337]
0.3763888888888889 [1.0069444444444444, 0.21875]
0.40347222222222223 [1.0173611111111112, 0.25]
0.35902777777777783 [1.0034722222222223, 0.19791666666666663]
0.32013888888888886 [0.9756944444444444, 0.15625]
0.3291666666666666 [0.9791666666666666, 0.16666666666666663]
0.32638888888888884 [0.9652777777777778, 0.16666666666666663]
0.3194444444444444 [0.9722222222222222, 0.15625]
0.29861111111111105 [0.9513888888888888, 0.13541666666666663]
0.3208333333333333 [0.9791666666666666, 0.15625]
0.3111111111111111 [0.9722222222222222, 0.14583333333333337]
0.3354166666666667 [1.0104166666666667, 0.16666666666666663]
0.32916666666666666 [1.0208333333333333, 0.15625]
0.34097222222222223 [0.9965277777777778, 0.17708333333333337]
0.3208333333333333 [0.9791666666666666, 0.15625]
0.3208333333333333 [0.9791666666666666, 0.15625]
0.31527777777777777 [0.9513888888888888, 0.15625]
0.3208333333333334 [0.8958333333333334, 0.17708333333333337]
0.29722222222222217 [0.9444444444444444, 0.13541666666666663]
0.29374999999999996 [0.9270833333333334, 0.13541666666666663]
0.3048611111111111 [0.9826388888888888, 0.13541666666666663]
0.30833333333333335 [0.9583333333333334, 0.14583333333333337]
0.2895833333333333 [0.9479166666666666, 0.125]
0.2875 [0.8958333333333334, 0.13541666666666663]
0.27013888888888893 [0.8923611111111112, 0.11458333333333337]
0.26875000000000004 [0.8854166666666666, 0.11458333333333337]
0.2680555555555556 [0.8819444444444444, 0.11458333333333337]
0.2625 [0.8958333333333334, 0.10416666666666663]
0.25277777777777777 [0.8888888888888888, 0.09375]
0.2520833333333333 [0.8854166666666666, 0.09375]
0.24930555555555559 [0.8715277777777778, 0.09375]
0.2729166666666667 [0.8645833333333334, 0.125]
0.26180555555555557 [0.8923611111111112, 0.10416666666666663]
0.2541666666666667 [0.8958333333333334, 0.09375]
0.25347222222222227 [0.8923611111111112, 0.09375]
0.24027777777777776 [0.9097222222222222, 0.07291666666666663]
0.24166666666666664 [0.9166666666666666, 0.07291666666666663]
0.2326388888888889 [0.9131944444444444, 0.0625]
0.22638888888888892 [0.8819444444444444, 0.0625]
0.2229166666666667 [0.8645833333333334, 0.0625]
0.2229166666666667 [0.8645833333333334, 0.0625]
0.2229166666666667 [0.8645833333333334, 0.0625]
0.22222222222222227 [0.8611111111111112, 0.0625]
0.22222222222222227 [0.8611111111111112, 0.0625]
0.22222222222222227 [0.8611111111111112, 0.0625]
0.22222222222222227 [0.8611111111111112, 0.0625]
0.22222222222222227 [0.8611111111111112, 0.0625]
0.22222222222222227 [0.8611111111111112, 0.0625]
